score_mode,axis,x_u,x_physical,physical_unit,score
full_l1,fcl,0.22,2.2000000000000002,kHz,0.65247331682205933
full_l1,fcl,0.22500000000000001,2.25,kHz,0.63994698323059174
full_l1,fcl,0.23000000000000001,2.2999999999999998,kHz,0.62740971038754034
full_l1,fcl,0.23499999999999999,2.3500000000000001,kHz,0.61487651608269833
full_l1,fcl,0.23999999999999999,2.3999999999999999,kHz,0.6023623964949828
full_l1,fcl,0.245,2.4500000000000002,kHz,0.58988227375464497
full_l1,fcl,0.25,2.5,kHz,0.57745093846623596
full_l1,fcl,0.255,2.5499999999999998,kHz,0.56508299009864893
full_l1,fcl,0.26000000000000001,2.6000000000000001,kHz,0.55279277472873278
full_l1,fcl,0.26500000000000001,2.6499999999999999,kHz,0.54059432442552902
full_l1,fcl,0.27000000000000002,2.7000000000000002,kHz,0.52850129343781727
full_l1,fcl,0.27500000000000002,2.75,kHz,0.51652689534459095
full_l1,fcl,0.28000000000000003,2.8000000000000003,kHz,0.5046838413230007
full_l1,fcl,0.28499999999999998,2.8499999999999996,kHz,0.49298428020996576
full_l1,fcl,0.28999999999999998,2.8999999999999999,kHz,0.48143973943687102
full_l1,fcl,0.29499999999999998,2.9500000000000002,kHz,0.47006107143542419
full_l1,fcl,0.29999999999999999,3,kHz,0.45885839860801236
full_l1,fcl,0.30499999999999999,3.0499999999999998,kHz,0.44784106756691378
full_l1,fcl,0.31,3.1000000000000001,kHz,0.43701760500881326
full_l1,fcl,0.315,3.1499999999999999,kHz,0.42639568107574255
full_l1,fcl,0.32000000000000001,3.2000000000000002,kHz,0.41598207338897653
full_l1,fcl,0.32500000000000001,3.25,kHz,0.40578264276956999
full_l1,fcl,0.33000000000000002,3.2999999999999998,kHz,0.39580231197941762
full_l1,fcl,0.33500000000000002,3.3500000000000001,kHz,0.38604504945357809
full_l1,fcl,0.34000000000000002,3.4000000000000004,kHz,0.37651386569459744
full_l1,fcl,0.34499999999999997,3.4499999999999997,kHz,0.36721080831169184
full_l1,fcl,0.34999999999999998,3.5,kHz,0.35813697017832646
full_l1,fcl,0.35499999999999998,3.5499999999999998,kHz,0.34929250208239027
full_l1,fcl,0.35999999999999999,3.6000000000000001,kHz,0.34067663174871599
full_l1,fcl,0.36499999999999999,3.6499999999999999,kHz,0.33228768848805657
full_l1,fcl,0.37,3.7000000000000002,kHz,0.32412313610079402
full_l1,fcl,0.375,3.75,kHz,0.31617961066375133
full_l1,fcl,0.38,3.7999999999999998,kHz,0.30845296391129962
full_l1,fcl,0.38500000000000001,3.8500000000000001,kHz,0.30093831045878927
full_l1,fcl,0.39000000000000001,3.8999999999999999,kHz,0.29363007985942136
full_l1,fcl,0.39500000000000002,3.9500000000000002,kHz,0.28652207584100875
full_l1,fcl,0.40000000000000002,4,kHz,0.27960753472855504
full_l1,fcl,0.40500000000000003,4.0500000000000007,kHz,0.27287918934164357
full_l1,fcl,0.40999999999999998,4.0999999999999996,kHz,0.26632933284163907
full_l1,fcl,0.41499999999999998,4.1500000000000004,kHz,0.25994988807469954
full_l1,fcl,0.41999999999999998,4.2000000000000002,kHz,0.25373247355788764
full_l1,fcl,0.42499999999999999,4.25,kHz,0.24766847423146832
full_l1,fcl,0.42999999999999999,4.2999999999999998,kHz,0.24174910697457497
full_l1,fcl,0.435,4.3499999999999996,kHz,0.2359654919811045
full_l1,fcl,0.44,4.4000000000000004,kHz,0.2303087164567228
full_l1,fcl,0.44500000000000001,4.4500000000000002,kHz,0.22476990026190813
full_l1,fcl,0.45000000000000001,4.5,kHz,0.21934025813087477
full_l1,fcl,0.45500000000000002,4.5499999999999998,kHz,0.21401116160308242
full_l1,fcl,0.46000000000000002,4.5999999999999996,kHz,0.20877419232085348
full_l1,fcl,0.46500000000000002,4.6500000000000004,kHz,0.20362119728260852
full_l1,fcl,0.46999999999999997,4.7000000000000002,kHz,0.19854434021282974
full_l1,fcl,0.47499999999999998,4.75,kHz,0.19353614334634484
full_l1,fcl,0.47999999999999998,4.7999999999999998,kHz,0.18858953250050325
full_l1,fcl,0.48499999999999999,4.8499999999999996,kHz,0.18369787229343437
full_l1,fcl,0.48999999999999999,4.9000000000000004,kHz,0.17885500074371619
